ID1;tjul;clim2;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56
1;5.8;0;0;0.003992016;0.351297405;0;0;0;0;0.011976048;0.001996008;0.139720559;0;0;0;0;0;0;0;0;0;0.143712575;0;0;0;0.00998004;0;0;0;0;0;0;0;0;0;0.005988024;0;0;0;0;0;0.249500998;0.041916168;0;0;0.011976048;0;0;0;0;0;0.027944112;0;0;0;0;0;0
2;18.9;0;0.035087719;0;0.026315789;0;0;0;0;0;0;0.48245614;0;0;0;0;0;0;0;0.00877193;0;0;0;0;0;0;0.00877193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043859649;0.280701754;0;0;0;0;0;0;0.01754386;0;0.00877193;0;0;0;0;0.070175439;0.01754386
3;10.9;0;0.011235955;0;0.04494382;0;0.005617978;0;0;0;0;0.070224719;0;0;0;0;0;0;0;0.002808989;0;0.011235955;0;0;0;0.002808989;0;0;0;0;0;0;0;0;0;0.005617978;0.002808989;0;0;0;0;0.803370787;0.011235955;0;0;0.008426966;0.002808989;0;0;0;0;0.005617978;0;0;0.011235955;0;0;0
5;20.2;0;0.002645503;0.037037037;0.015873016;0;0.005291005;0;0;0.002645503;0;0.317460318;0;0.013227513;0;0;0;0;0;0;0.007936508;0.010582011;0;0;0;0;0.119047619;0;0.021164021;0;0;0.007936508;0;0;0;0;0;0;0.002645503;0;0;0.018518519;0.206349206;0;0;0.005291005;0.007936508;0;0;0.037037037;0;0.002645503;0;0;0;0.023809524;0.108465609;0.026455026
6;15.4;0;0.082191781;0.005136986;0.032534247;0;0.058219178;0;0;0.001712329;0.001712329;0.551369863;0;0.001712329;0;0;0;0;0;0.011986301;0.006849315;0.001712329;0;0;0;0.005136986;0.006849315;0;0.003424658;0;0;0;0;0;0;0.001712329;0.003424658;0;0.001712329;0;0;0.130136986;0.035958904;0;0;0.035958904;0.005136986;0;0;0.003424658;0.001712329;0.003424658;0;0;0.003424658;0;0;0.003424658
7;20.1;0;0.013888889;0.027777778;0.083333333;0;0;0;0;0;0;0.340277778;0;0;0;0;0;0;0.003472222;0.003472222;0.076388889;0;0;0;0;0;0.024305556;0.017361111;0;0;0;0.006944444;0;0;0;0;0;0;0.024305556;0;0;0.034722222;0.100694444;0.003472222;0;0.079861111;0.003472222;0;0;0.076388889;0;0.006944444;0;0;0;0;0.055555556;0.017361111
8;19;0;0.02919708;0.010948905;0.076642336;0;0;0.003649635;0;0;0.003649635;0.368613139;0;0;0;0.003649635;0;0;0;0.00729927;0.003649635;0;0;0;0;0.003649635;0.02189781;0.003649635;0;0;0;0;0.010948905;0;0;0;0.010948905;0;0.010948905;0;0;0.105839416;0.124087591;0;0;0.040145985;0.00729927;0;0;0.032846715;0;0.00729927;0;0;0.02189781;0;0.087591241;0.003649635
9;19.1;0;0;0.052884615;0.004807692;0;0;0;0;0.004807692;0.016826923;0.098557692;0;0.007211538;0;0.012019231;0;0;0.004807692;0.004807692;0;0.004807692;0;0;0;0.112980769;0.067307692;0.021634615;0;0;0;0.002403846;0;0;0;0;0;0;0.038461538;0;0;0.004807692;0.144230769;0.012019231;0;0.074519231;0.016826923;0;0;0.096153846;0.004807692;0.007211538;0;0;0.014423077;0;0.146634615;0.024038462
10;17.8;0;0.051801802;0.024774775;0.006756757;0;0.024774775;0.004504505;0;0.002252252;0.004504505;0.448198198;0;0.002252252;0;0.002252252;0;0;0.002252252;0.013513514;0.006756757;0.004504505;0;0;0;0;0.029279279;0;0;0.004504505;0;0.002252252;0.004504505;0;0;0.011261261;0.002252252;0;0;0;0;0.132882883;0.103603604;0.002252252;0;0.040540541;0.002252252;0;0;0.015765766;0;0.002252252;0;0;0.006756757;0;0.036036036;0.004504505
11;12.1;0;0;0;0.201372998;0;0.016018307;0;0;0;0.006864989;0.064073227;0;0;0;0;0;0;0;0;0.009153318;0.016018307;0;0;0;0;0;0;0;0;0;0;0.016018307;0;0;0.004576659;0;0;0;0;0;0.3798627;0.215102975;0;0;0.004576659;0;0;0;0.00228833;0;0;0;0;0.064073227;0;0;0
