JG05_ID2	LATDD	LONDD	XXX	XXX	ELEVATION	PolSum	AbiesEast	AcerTotEast	AlnusXEast	ALRUBRA	ALRUGOSA	AQUIFOLI	ARCEUTHOBI	ARTEMISIA	ASTEROTH	BETULA	BRASSICACEAE	CACTACEAE	CARYA	CARYOPHYLL	CASTANEA	CeltisEast	CEPHALANTH	ChenAmMid	CHRYSOLEP	CORYLUS	CupressXEast	CYPERACE	DForbs	DRYAS	EPHEDRA	EricTot	FAGUS	FraxXEast	FRAXNIGR	FRAXPNAM	IVA	JUGTOT	LarixEast	LARREA	LIQUIDAM	LYCOTOT	MYRICACX	NYSSA	OSTRYCAR	OXYRIA	PAPAVERX	PiceaTotEast	PINUS	PLANTAGINX	PLATANUS	POACEAE	POPULUS	PROSOPIS	PTERIDIUM	QuercusEast	ROSACEAX	SALIX	SARCOBATUS	SAXATOTG	SPHAGNUM	TAXODIUM	TILIA	TsugaXEast	TSUGHETE	TSUGMERT	ULMUS
17	45.567	-70.675	0.33773772	-0.37403555	603	262	0.763358779	0	3.435114504	0	0	0	0	0	0	56.48854962	0	0	0	0	0	0	0	0	0	0	1.908396947	0.381679389	0	0	0	0	4.198473282	0.381679389	0	0	0	0	0	0	0	0.763358779	0.381679389	0	0.763358779	0	0	11.83206107	9.541984733	0	0	1.145038168	0	0	0	3.435114504	0	0	0	0	0	0	0	3.053435115	0	0	1.526717557
18	43.917	-74.683	0.302834456	-0.418475036	600	194	4.624277457	0.578034682	2.312138728	0	0	0	0	0	0	20.80924855	0	0	0.578034682	0	0	0	0	0	0	2.89017341	0	2.312138728	0	0	0	1.156069364	4.624277457	0	0	0	0	0	0	0	0	0.578034682	1.734104046	0	0.578034682	0	0	42.77456647	4.046242775	0	0	0.578034682	0	0	0	2.312138728	0	0	0	0	2.89017341	0	0	4.624277457	0	0	0
20	41.6979	-71.7735	0.350301788	-0.443884108	104	295	0	1.229508197	8.196721311	0	0	0	0	0.409836066	0	19.26229508	0	0	3.278688525	0	1.639344262	0	0	0	0	0	0	0	0	0	0	0	2.459016393	0.409836066	0	0	0	0.819672131	0	0	0	0	0	0	0.409836066	0	0	0	10.24590164	0.409836066	0.409836066	9.426229508	0	0	0	38.93442623	0.819672131	0	0	0	0	0	0	1.229508197	0	0	0.409836066
21	55.667	-63.25	0.33426289	-0.174426374	475	421	0.4784689	0	15.07177033	0	0	0	0	0	0.4784689	22.24880383	0.23923445	0	0	0	0	0	0	0	0	0	0	2.870813397	0	0	0	0	0	0	0	0	0	0	0.717703349	0	0	0.717703349	0	0	0	0	0	52.3923445	2.631578947	0	0	1.435406699	0	0	0	0	0	0	0	0	0.717703349	0	0	0	0	0	0
22	46.614	-72.999	0.305672834	-0.365878367	220	773	1.585204756	2.377807133	0	0	3.5667107	0	0	0.132100396	0	43.98943197	0	0	0.132100396	0	0.132100396	0	0	0.132100396	0	0.396301189	1.981505945	1.981505945	0	0	0	0.396301189	1.717305152	0	0.528401585	0.264200793	0	0	0.396301189	0	0	0	0.924702774	0	0	0	0	8.718626156	20.60766182	0.132100396	0	2.377807133	0.660501982	0	0	1.849405548	0.264200793	0.528401585	0	0	0.396301189	0	0	3.698811096	0	0	0.132100396
23	41.3314	-74.658	0.3179408	-0.46241607	440	900	0	5.555555556	4.444444444	0	0	0	0	0	0	17.77777778	0	0	2.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	1.111111111	0	0	0	0	0	0	0	0	0	0	12.22222222	5.555555556	0	0	1.111111111	20	0	0	0	0	0	0	8.888888889	0	1.111111111	0	0	0	0	0	16.66666667	0	0	3.333333333
24	54.799	-76.146	0.226455729	-0.235515812	340	475	0.421940928	0	19.62025316	0	1.687763713	0	0	0.843881857	0.843881857	12.44725738	0	0	0	0	0	0	0	0	0	0	0.632911392	3.375527426	0	0	0	2.742616034	0	0	0	0	0	0	0.210970464	0	0	0.632911392	0.632911392	0	0	0	0	39.66244726	6.329113924	0	0	1.687763713	0.210970464	0	0	0	0	0	0	0	8.016877637	0	0	0	0	0	0
25	41.65	-86.53	0.170166741	-0.494047498	244	350	0	0.29154519	1.166180758	0	0	0	0	0	0.29154519	0	0	0	10.78717201	0	0	0	0	0	0	0	0	1.166180758	0	0	0	0	6.997084548	3.790087464	0	0	0	2.915451895	0	0	0	0	0	0	3.498542274	0	0	0	3.206997085	0	0	0	0	0	0	60.93294461	0	0.874635569	0	0	0	0	0.583090379	0	0	0	3.498542274
27	42.02	-93.27	8.48E-02	-0.498470832	329	459	0	0	0	0	0	0	0	1.59453303	2.050113895	0.683371298	0	0	0	0	0	0	0	56.9476082	0	0	0	22.32346241	0	0	0	0	0	0.683371298	0	0	0	0.227790433	0	0	0	0	0	0	0	0	0	1.366742597	5.011389522	0	0.683371298	1.822323462	0	0	0	6.150341686	0	0	0	0	0	0	0	0	0	0	0.455580866
28	46.283	-67.883	0.362963846	-0.349537613	140	510	2.845528455	1.219512195	16.46341463	0	0	0	0	0.203252033	1.219512195	17.88617886	0	0	0	0	0	0	0	0.203252033	0	0.203252033	3.455284553	1.829268293	0	0	0	0	2.032520325	0.609756098	0	0	0	0.203252033	0.81300813	0	0	0	0	0	0.406504065	0	0	17.68292683	19.30894309	0	0	5.894308943	0.81300813	0	0	1.219512195	0	1.219512195	0	0	0	0	0	3.25203252	0	0	1.016260163
29	67.833	-115.317	-0.101261596	-2.70E-02	43	551	0	0	12.43144424	0	0	0	0	1.645338208	1.096892139	20.84095064	0	0	0	0	0	0	0	0	0	0	0	5.118829982	0	0	0	20.10968921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.645338208	6.032906764	0	0	4.936014625	0	0	0	0	0	23.76599634	0	0	2.376599634	0	0	0	0	0	0
31	49.183	-81.267	0.203209056	-0.348142885	259	416	9.661835749	0	0.483091787	0	2.898550725	0	0	1.207729469	0	14.73429952	0	0	0	0	0	0	0	0.241545894	0	0.241545894	0.966183575	0.724637681	0	0	0	0	0	0	0	0	0	0	2.415458937	0	0	0	0	0	0	0	0	44.92753623	16.18357488	0	0.241545894	0.483091787	0.966183575	0	0.483091787	0.966183575	0	0.241545894	0	0	1.207729469	0	0	0.241545894	0	0	0.483091787
32	43.5	-79.83	0.244745135	-0.443730563	102	775	0	4.827586207	1.206896552	0	0	0	0	0.344827586	1.034482759	21.20689655	0	0	3.448275862	0	0	0.344827586	0	2.068965517	0	0.344827586	3.620689655	0.172413793	0.172413793	0	0.172413793	0	1.034482759	0	1.206896552	1.551724138	0	1.724137931	0	0	0	0	0	0	4.310344828	0	0	0	11.20689655	0.517241379	0.517241379	8.620689655	1.034482759	0	0	12.4137931	0.172413793	2.24137931	0	0	0	0	0.689655172	0.689655172	0	0	13.10344828
34	44.7189	-84.9536	0.179271444	-0.436214666	345	227	0	2.293577982	0.458715596	0	0	0	0	0.458715596	0	1.834862385	0	0	0.917431193	0	0	0	0	0.458715596	0	0.458715596	0	0.458715596	0	0	0	0	3.669724771	0	0	0	0	0	0.458715596	0	0	0	0	0	0.458715596	0	0	0.458715596	65.59633028	0	0	0.458715596	0	0	0	11.46788991	0	0	0	0	0	0	0	7.798165138	0	0	2.293577982
1	60.979	-69.992	0.240268557	-0.111565947	153	506	0	0.399201597	35.12974052	0	0	0	0	1.19760479	0.199600798	13.97205589	0	0	0	0	0	0	0	0	0	0	0	14.37125749	0	0	0	0.998003992	0	0	0	0	0	0	0	0	0	0.598802395	0	0	0	0	0	24.9500998	4.191616766	0	0	1.19760479	0	0	0	0	0	2.794411178	0	0	0	0	0	0	0	0	0
